congress,chamber,icpsr,party_code,,,,,,,,,
2,House,6625,4000,,,,,,,,,
2,House,7156,4000,,,,,,,,,
2,House,7199,4000,,,,,,,,,
2,House,9658,4000,,,,,,,,,
2,House,10006,5000,,,,,,,,,
2,Senate,2936,5000,,,,,,,,,
2,Senate,8457,5000,,,,,,,,,
2,Senate,507,5000,,,,,,,,,
2,Senate,7762,5000,,,,,,,,,
2,Senate,3128,4000,,,,,,,,,
2,Senate,3877,4000,,,,,,,,,
2,Senate,1118,4000,,,,,,,,,
2,Senate,2866,4000,,,,,,,,,
2,Senate,1536,5000,,,,,,,,,
2,Senate,4333,5000,,,,,,,,,
2,Senate,7564,5000,,,,,,,,,
2,Senate,1384,5000,,,,,,,,,
2,Senate,9028,5000,,,,,,,,,
2,Senate,5449,5000,,,,,,,,,
2,Senate,10272,4000,,,,,,,,,
2,Senate,2576,5000,,,,,,,,,
2,Senate,8150,5000,,,,,,,,,
2,Senate,1302,4000,,,,,,,,,
2,Senate,5270,5000,,,,,,,,,
2,Senate,4212,4000,,,,,,,,,
2,Senate,5012,5000,,,,,,,,,
2,Senate,6712,5000,,,,,,,,,
2,Senate,3315,5000,,,,,,,,,
2,Senate,8845,4000,,,,,,,,,
2,Senate,1346,4000,,,,,,,,,
2,Senate,4837,5000,,,,,,,,,
2,Senate,956,4000,,,,,,,,,
2,Senate,7989,4000,,,,,,,,,
2,Senate,5565,4000,,,,,,,,,
2,Senate,6594,4000,,,,,,,,,
2,Senate,9215,4000,,,,,,,,,
3,President,99869,5000,,,,,,,,,
3,House,1914,5000,,,,,,,,,
3,House,4433,5000,,,,,,,,,
3,House,5543,5000,,,,,,,,,
3,House,9127,5000,,,,,,,,,
3,House,9452,5000,,,,,,,,,
3,House,9489,5000,,,,,,,,,
3,House,9706,5000,,,,,,,,,
3,House,5494,5000,,,,,,,,,
3,House,7235,4000,,,,,,,,,
3,House,379,4000,,,,,,,,,
3,House,1518,4000,,,,,,,,,
3,House,3798,4000,,,,,,,,,
3,House,7084,4000,,,,,,,,,
3,House,1716,4000,,,,,,,,,
3,House,2512,5000,,,,,,,,,
3,House,2796,4000,,,,,,,,,
3,House,2859,5000,,,,,,,,,
3,House,3285,5000,,,,,,,,,
3,House,4441,5000,,,,,,,,,
3,House,6418,4000,,,,,,,,,
3,House,6830,5000,,,,,,,,,
3,House,8678,4000,,,,,,,,,
3,House,8811,4000,,,,,,,,,
3,House,154,5000,,,,,,,,,
3,House,886,5000,,,,,,,,,
3,House,1865,5000,,,,,,,,,
3,House,1906,5000,,,,,,,,,
3,House,2451,4000,,,,,,,,,
3,House,2550,5000,,,,,,,,,
3,House,3303,5000,,,,,,,,,
3,House,3674,5000,,,,,,,,,
3,House,4546,4000,,,,,,,,,
3,House,5852,4000,,,,,,,,,
3,House,8344,5000,,,,,,,,,
3,House,9268,5000,,,,,,,,,
3,House,9707,5000,,,,,,,,,
3,House,9808,5000,,,,,,,,,
3,House,3610,5000,,,,,,,,,
3,House,8448,4000,,,,,,,,,
3,House,8644,5000,,,,,,,,,
3,House,10272,5000,,,,,,,,,
3,House,554,5000,,,,,,,,,
3,House,878,5000,,,,,,,,,
3,House,1387,5000,,,,,,,,,
3,House,1750,5000,,,,,,,,,
3,House,2440,5000,,,,,,,,,
3,House,5303,5000,,,,,,,,,
3,House,351,4000,,,,,,,,,
3,House,3573,5000,,,,,,,,,
3,House,3628,5000,,,,,,,,,
3,House,3695,5000,,,,,,,,,
3,House,9161,5000,,,,,,,,,
3,House,9463,4000,,,,,,,,,
3,House,9591,5000,,,,,,,,,
3,House,9602,4000,,,,,,,,,
3,House,9615,5000,,,,,,,,,
3,House,9881,5000,,,,,,,,,
3,House,805,4000,,,,,,,,,
3,House,2432,4000,,,,,,,,,
3,House,3594,4000,,,,,,,,,
3,House,3859,5000,,,,,,,,,
3,House,5734,4000,,,,,,,,,
3,House,5895,4000,,,,,,,,,
3,House,6230,4000,,,,,,,,,
3,House,6401,4000,,,,,,,,,
3,House,10136,4000,,,,,,,,,
3,House,10280,4000,,,,,,,,,
3,House,231,5000,,,,,,,,,
3,House,3147,4000,,,,,,,,,
3,House,3196,5000,,,,,,,,,
3,House,3805,4000,,,,,,,,,
3,House,4156,5000,,,,,,,,,
3,House,4390,4000,,,,,,,,,
3,House,4820,4000,,,,,,,,,
3,House,5310,5000,,,,,,,,,
3,House,6608,4000,,,,,,,,,
3,House,6781,4000,,,,,,,,,
3,House,6784,4000,,,,,,,,,
3,House,8312,5000,,,,,,,,,
3,House,8596,4000,,,,,,,,,
3,House,884,5000,,,,,,,,,
3,House,5935,5000,,,,,,,,,
3,House,656,4000,,,,,,,,,
3,House,3607,4000,,,,,,,,,
3,House,4090,5000,,,,,,,,,
3,House,4753,4000,,,,,,,,,
3,House,7425,4000,,,,,,,,,
3,House,8702,5000,,,,,,,,,
3,House,10275,4000,,,,,,,,,
3,House,6932,4000,,,,,,,,,
3,House,8639,4000,,,,,,,,,
3,House,1739,4000,,,,,,,,,
3,House,1936,4000,,,,,,,,,
3,House,3582,4000,,,,,,,,,
3,House,3825,5000,,,,,,,,,
3,House,4026,5000,,,,,,,,,
3,House,4127,4000,,,,,,,,,
3,House,4269,4000,,,,,,,,,
3,House,5564,5000,,,,,,,,,
3,House,5903,4000,,,,,,,,,
3,House,6625,4000,,,,,,,,,
3,House,6883,4000,,,,,,,,,
3,House,6886,4000,,,,,,,,,
3,House,6911,4000,,,,,,,,,
3,House,7156,4000,,,,,,,,,
3,House,7199,5000,,,,,,,,,
3,House,7603,4000,,,,,,,,,
3,House,8148,4000,,,,,,,,,
3,House,9658,4000,,,,,,,,,
3,House,9739,4000,,,,,,,,,
3,Senate,2936,5000,,,,,,,,,
3,Senate,6574,5000,,,,,,,,,
3,Senate,8457,5000,,,,,,,,,
3,Senate,5494,5000,,,,,,,,,
3,Senate,9676,5000,,,,,,,,,
3,Senate,3877,4000,,,,,,,,,
3,Senate,4854,4000,,,,,,,,,
